1;2;Vejam bem, maioria dos homens apoiam. maioria de mulheres não. Homens tendem a serem lógicos, mulheres emotivas. Sera que mulheres acham que rodeios é judiação de animais? O que é claramente equivocado da parte delas. Como também isso se repete na PL3722, homens pensam logicamente, e são mais favorável ao cidadão ter menos restrições a armas de fogo para proteger seu patrimônio e sua família. Ja as mães, familiares, namoradas(os), principalmente de bandidos, acham isso um terror, por que qual mãe quer ver o filho bandido morto praticando um assalto? Logo são contra o direito das vitimas de si proteger do seu filho bandido. Vote consciente, vote com razão e não emoção! Brasil melhora rapidinho. 
2;2;Observando daquí, a debandada dos derrotados. Cadê o Sacoman Keffeyo, a Ana Animais e, o pilantra do Haroldo Girafales? Perderam a coragem de virem aquí na enquete, questionar a sanção do PL?  Corvardões perdedores: vão chorar no colinho da Luisa Mell.  
3;1;Dezenas de debates e ficou mais que provado que animais atletas nao sao animais maus tratados,parabens capitao augusto. 
4;1;PARABÉNS CAPITÃO AUGUSTO ISSO PROVA QUE QUEM AMA CUIDA,ANIMAIS TRATADOS COM MUITO CARINHO 
6;1;Parabéns ao presidente Michel Temer que sancionou a lei que, eleva o rodeio à condição de patrimônio cultural imaterial do Brasil infelizmente a vaquejada passou junto. Parabéns Capitão Augusto.  
7;1;Parabéns Capitão Augusto,agora é lei. 
8;1;PARABÉNS CAPITÃO AUGUSTO A NAÇÃO SERTANEJA ESTÁ COM VOCÊ. 
9;2;Sem noção é essas pessoas que nunca viram um animal de perto vir aqui falar tanta besteiras,,que animais tem seus testículos apertados,,que sofrem muito e trabalham até morrerem de cansaço,,vamos conhecer de perto como vivem e para onde iriam esses animas se não fossem usados no esporte. 
10;2;Ridiculo !!!!!! 
12;2;quem não  tem senso de prioridade é vc seu besta,,atores da globo falando que entre um polícial  e um traficante escolheriam salvar o traficante primeiro,,bandidos derrubando helicoptero da policia,,outros espulsando policiais maus armadas das cidades pra assaltarem banco,,vem vc aqui em falar em acabar com um esporte  ,vai te catar 
